Capacity,Voltage_123_236_1SoC.xls,Voltage_123_237_1SoC.xls,Voltage_123_238_1SoC.xls,Voltage_123_239_1SoC.xls
4.85,4.1964,4.1964,4.192,4.1951
4.8015,4.1654,4.1641,4.1635,4.1641
4.753,4.1431,4.1418,4.1424,4.1418
4.7045,4.1276,4.1263,4.1269,4.1257
4.656,4.1158,4.1145,4.1158,4.1152
4.6075,4.1071,4.1059,4.1071,4.1065
4.559,4.1003,4.0984,4.1003,4.0997
4.5105,4.0947,4.0935,4.0953,4.0941
4.462,4.091,4.0891,4.091,4.0897
4.4135,4.0873,4.086,4.0879,4.0866
4.365,4.0848,4.0829,4.0854,4.0842
4.3165,4.0823,4.0804,4.0829,4.0823
4.268,4.0798,4.078,4.0811,4.0798
4.2195,4.0773,4.0761,4.0786,4.0773
4.171,4.0755,4.0742,4.0761,4.0749
4.1225,4.0718,4.0711,4.073,4.0724
4.074,4.068,4.0662,4.0693,4.0687
4.0255,4.0631,4.0612,4.0631,4.0625
3.977,4.0556,4.0538,4.0569,4.0562
3.9285,4.0476,4.0463,4.0476,4.0476
3.88,4.0383,4.0364,4.0389,4.0383
3.8315,4.0277,4.0259,4.0277,4.0277
3.783,4.0166,4.0141,4.0159,4.0159
3.7345,4.0042,4.0017,4.0048,4.0042
3.686,3.9924,3.9899,3.9924,3.9924
3.6375,3.98,3.9787,3.9806,3.98
3.589,3.9694,3.967,3.9688,3.9688
3.5405,3.9583,3.9564,3.9589,3.9583
3.492,3.9484,3.9465,3.949,3.9484
3.4435,3.9397,3.9378,3.9397,3.9397
3.395,3.9316,3.9298,3.9322,3.9322
3.3465,3.9248,3.9229,3.9242,3.9242
3.298,3.9174,3.9155,3.918,3.9174
3.2495,3.9105,3.9087,3.9105,3.9099
3.201,3.9043,3.9019,3.9037,3.9037
3.1525,3.8969,3.895,3.8975,3.8969
3.104,3.8901,3.8876,3.8895,3.8895
3.0555,3.8814,3.8795,3.882,3.882
3.007,3.8733,3.8715,3.8733,3.8733
2.9585,3.864,3.8622,3.864,3.864
2.91,3.8547,3.8523,3.8554,3.8547
2.8615,3.8448,3.8423,3.8442,3.8448
2.813,3.833,3.8312,3.8324,3.8343
2.7645,3.82,3.8182,3.8194,3.8213
2.716,3.8058,3.8045,3.8045,3.807
2.6675,3.7909,3.7896,3.7903,3.7921
2.619,3.7766,3.7748,3.776,3.7772
2.5705,3.763,3.7611,3.763,3.7636
2.522,3.7512,3.7493,3.7506,3.7506
2.4735,3.7394,3.7375,3.7388,3.7388
2.425,3.7289,3.7258,3.7282,3.7282
2.3765,3.7183,3.7165,3.7177,3.7177
2.328,3.7084,3.7065,3.7084,3.7078
2.2795,3.6991,3.6966,3.6991,3.6991
2.231,3.691,3.6886,3.6904,3.6904
2.1825,3.6824,3.6805,3.6824,3.683
2.134,3.6755,3.6731,3.6755,3.6749
2.0855,3.6681,3.6656,3.6687,3.6681
2.037,3.6613,3.6594,3.6613,3.6613
1.9885,3.6557,3.6532,3.6557,3.6551
1.94,3.6489,3.647,3.6495,3.6495
1.8915,3.6421,3.6421,3.6433,3.6433
1.843,3.6359,3.6365,3.6377,3.6377
1.7945,3.6303,3.6315,3.6321,3.6321
1.746,3.6253,3.6253,3.6266,3.6259
1.6975,3.6191,3.6197,3.621,3.6204
1.649,3.6135,3.6142,3.6154,3.6154
1.6005,3.6086,3.608,3.6092,3.6092
1.552,3.6018,3.6024,3.603,3.6036
1.5035,3.5962,3.5962,3.5974,3.5968
1.455,3.5894,3.59,3.5906,3.5912
1.4065,3.5832,3.5832,3.5838,3.5844
1.358,3.5757,3.5757,3.577,3.577
1.3095,3.5683,3.5689,3.5689,3.5695
1.261,3.5602,3.5602,3.5608,3.5615
1.2125,3.5515,3.5522,3.5522,3.5528
1.164,3.5422,3.5422,3.5435,3.5441
1.1155,3.5329,3.5329,3.5336,3.5342
1.067,3.5236,3.5236,3.5236,3.5255
1.0185,3.5143,3.5143,3.515,3.5156
0.97,3.505,3.5057,3.5057,3.5069
0.9215,3.4957,3.4957,3.4957,3.497
0.873,3.4846,3.4846,3.4846,3.4858
0.8245,3.4722,3.4716,3.4716,3.4734
0.776,3.4592,3.4592,3.4592,3.461
0.7275,3.4468,3.4468,3.4461,3.448
0.679,3.4325,3.4325,3.4319,3.4343
0.6305,3.4195,3.4195,3.4195,3.4207
0.582,3.4095,3.4089,3.4102,3.4108
0.5335,3.4009,3.4009,3.4015,3.4021
0.485,3.3934,3.3922,3.3934,3.3934
0.4365,3.3841,3.3841,3.3847,3.3854
0.388,3.3754,3.3748,3.3761,3.3761
0.3395,3.3649,3.3637,3.3643,3.3655
0.291,3.3475,3.3469,3.3438,3.3482
0.2425,3.3122,3.3103,3.3029,3.3128
0.194,3.2614,3.2576,3.2483,3.2626
0.1455,3.1969,3.1925,3.1808,3.2
0.097,3.1163,3.1088,3.0915,3.1194
0.0485,3.0028,2.9916,2.9644,3.0078
0.0,2.8168,2.7963,2.7666,2.823
